pathway_description	pathway_genes	pathway_ids	pathway_names
['  Non-essential protein of unknown function required for transcriptional induction', '  Hexokinase isoenzyme 2 that catalyzes phosphorylation of glucose in the cytosol', '  hypothetical protein', '  Hexokinase-2', '  Glycolytic enzyme phosphoglucose isomerase', '  Alpha subunit of heterooctameric phosphofructokinase involved in glycolysis', '  Beta subunit of heterooctameric phosphofructokinase involved in glycolysis', '  Fructose-1,6-bisphosphatase, key regulatory enzyme in the gluconeogenesis pathway', '  Fructose 1,6-bisphosphate aldolase, required for glycolysis and gluconeogenesis', '  Triose phosphate isomerase, abundant glycolytic enzyme', '  Glyceraldehyde-3-phosphate dehydrogenase, isozyme 3, involved in glycolysis and gluconeogenesis', '  3-phosphoglycerate kinase', '  Tetrameric phosphoglycerate mutase', '  Tetrameric phosphoglycerate mutase', '  Enolase I, a phosphopyruvate hydratase that catalyzes the conversion of 2-phosphoglycerate to phosph', '  Pyruvate kinase', '  E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex', '  E1 beta subunit of the pyruvate dehydrogenase (PDH) complex', '  Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex', '  Dihydrolipoamide dehydrogenase', '  Major of three pyruvate decarboxylase isozymes', '  S-(hydroxymethyl)glutathione dehydrogenase', '  Mitochondrial alcohol dehydrogenase isozyme III', '  NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity', '  NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity', '  hypothetical protein', '  Putative fatty aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase', '  Cytoplasmic aldehyde dehydrogenase, involved in ethanol oxidation and beta-alanine biosynthesis', '  acetate--CoA ligase', '  acetate--CoA ligase', '  Phosphoglucomutase', '  Phosphoglucomutase, catalyzes interconversion of glucose-1-phosphate and glucose-6-phospate', '  Glucose-6-phosphate 1-epimerase (hexose-6-phosphate mutarotase)', '  Phosphoenolpyruvate carboxykinase']	['PAS_chr4_0624', 'PAS_chr1-4_0447', 'PAS_chr3_1192', 'PAS_chr1-4_0561', 'PAS_chr3_0456', 'PAS_chr2-1_0402', 'PAS_chr1-4_0047', 'PAS_chr3_0868', 'PAS_chr1-1_0072', 'PAS_chr3_0951', 'PAS_chr2-1_0437', 'PAS_chr1-4_0292', 'PAS_chr3_0693', 'PAS_chr3_0826', 'PAS_chr3_0082', 'PAS_chr2-1_0769', 'PAS_chr2-2_0294', 'PAS_chr1-4_0593', 'PAS_chr1-1_0050', 'PAS_chr2-2_0048', 'PAS_chr3_0188', 'PAS_chr3_1028', 'PAS_chr2-1_0472', 'PAS_chr4_0576', 'PAS_chr1-1_0357', 'PAS_chr2-1_0853', 'PAS_chr1-4_0064', 'PAS_chr3_0987', 'PAS_chr4_0043', 'PAS_chr2-1_0453', 'PAS_chr3_0403', 'PAS_chr2-1_0767', 'PAS_chr1-4_0264', 'PAS_chr2-1_0771', 'PAS_chr1-4_0042', 'PAS_FragB_0061']	ppa00010	Glycolysis / Gluconeogenesis
['  hypothetical protein', '  Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitoc', '  Mitochondrial NADP-specific isocitrate dehydrogenase, catalyzes the oxidation of isocitrate', '  Cytosolic NADP-specific isocitrate dehydrogenase', '  Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase, which catalyzes the oxidation of', '  Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase', '  Component of the mitochondrial alpha-ketoglutarate dehydrogenase complex, which catalyzes a key step', '  Dihydrolipoyl transsuccinylase, component of the mitochondrial alpha-ketoglutarate dehydrogenase', '  Dihydrolipoamide dehydrogenase', '  Alpha subunit of succinyl-CoA ligase', '  Beta subunit of succinyl-CoA ligase, which is a mitochondrial enzyme of the TCA cycle', '  Flavoprotein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p)', '  Iron-sulfur protein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p)', '  hypothetical protein', '  Membrane anchor subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p)', '  Membrane anchor subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p)', '  Fumarase, converts fumaric acid to L-malic acid in the TCA cycle', '  Mitochondrial malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate', '  Mitochondrial malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate', '  Pyruvate carboxylase isoform, cytoplasmic enzyme that converts pyruvate to oxaloacetate', '  Phosphoenolpyruvate carboxykinase', '  E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex', '  E1 beta subunit of the pyruvate dehydrogenase (PDH) complex', '  Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex']	['PAS_chr1-1_0475', 'PAS_chr1-3_0104', 'PAS_chr1-1_0233', 'PAS_chr2-1_0580', 'PAS_chr2-1_0120', 'PAS_chr4_0580', 'PAS_chr2-1_0089', 'PAS_chr1-3_0094', 'PAS_chr2-2_0048', 'PAS_chr3_0831', 'PAS_chr2-2_0407', 'PAS_chr4_0733', 'PAS_chr3_1111', 'PAS_chr1-4_0487', 'PAS_chr3_0424', 'PAS_chr2-2_0283', 'PAS_chr3_0647', 'PAS_chr2-1_0238', 'PAS_chr4_0815', 'PAS_chr2-2_0024', 'PAS_FragB_0061', 'PAS_chr2-2_0294', 'PAS_chr1-4_0593', 'PAS_chr1-1_0050']	ppa00020	Citrate cycle (TCA cycle)
['  Glycolytic enzyme phosphoglucose isomerase', '  Glucose-6-phosphate dehydrogenase (G6PD), catalyzes the first step of the pentose phosphate pathway', '  Protein with a possible role in tRNA export', '  6-phosphogluconolactonase, catalyzes the second step of the pentose phosphate pathway', '  6-phosphogluconate dehydrogenase (decarboxylating)', '  Transketolase, similar to Tkl2p', '  Transaldolase, enzyme in the non-oxidative pentose phosphate pathway', '  Transaldolase, enzyme in the non-oxidative pentose phosphate pathway', '  Ribose-5-phosphate ketol-isomerase', '  Ribose-5-phosphate ketol-isomerase', '  Putative ribokinase', '  Phosphoglucomutase', '  Phosphoglucomutase, catalyzes interconversion of glucose-1-phosphate and glucose-6-phospate', '  5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP', '  Ribose-phosphate pyrophosphokinase', '  5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP', '  5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleot', '  hypothetical protein', '  Fructose 1,6-bisphosphate aldolase, required for glycolysis and gluconeogenesis', '  Fructose-1,6-bisphosphatase, key regulatory enzyme in the gluconeogenesis pathway', '  Alpha subunit of heterooctameric phosphofructokinase involved in glycolysis', '  Beta subunit of heterooctameric phosphofructokinase involved in glycolysis']	['PAS_chr3_0456', 'PAS_chr2-1_0308', 'PAS_chr1-1_0277', 'PAS_chr3_1126', 'PAS_chr3_0277', 'PAS_chr1-4_0150', 'PAS_chr2-2_0337', 'PAS_chr2-2_0338', 'PAS_chr4_0213', 'PAS_chr4_0212', 'PAS_chr3_0604', 'PAS_chr1-4_0264', 'PAS_chr2-1_0771', 'PAS_chr2-2_0174', 'PAS_chr1-1_0006', 'PAS_chr1-1_0436', 'PAS_chr3_0062', 'PAS_chr1-4_0669', 'PAS_chr1-1_0072', 'PAS_chr3_0868', 'PAS_chr2-1_0402', 'PAS_chr1-4_0047']	ppa00030	Pentose phosphate pathway
['  hypothetical protein', '  UDP-glucose pyrophosphorylase (UGPase), catalyses the reversible formation of UDP-Glc', '  NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity', '  NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity', '  Xylulokinase, converts D-xylulose and ATP to xylulose 5-phosphate and ADP', '  Aldose reductase involved in methylglyoxal, D-xylose and arabinose metabolism', '  Peroxisomal 2,4-dienoyl-CoA reductase, auxiliary enzyme of fatty acid beta-oxidation']	['PAS_chr4_0572', 'PAS_chr1-3_0122', 'PAS_chr4_0576', 'PAS_chr1-1_0357', 'PAS_chr1-1_0280', 'PAS_chr3_0744', 'PAS_chr2-2_0019']	ppa00040	Pentose and glucuronate interconversions
['  Mannose-6-phosphate isomerase, catalyzes the interconversion of fructose-6-P and mannose-6-P', '  Phosphomannomutase, involved in synthesis of GDP-mannose and dolichol-phosphate-mannose', '  GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase)', '  GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase), synthesizes GDP-mannose from', '  Peroxisomal 2,4-dienoyl-CoA reductase, auxiliary enzyme of fatty acid beta-oxidation', '  hypothetical protein', '  L-rhamnonate dehydratase', '  hypothetical protein', '  hypothetical protein', '  Non-essential protein of unknown function required for transcriptional induction', '  Hexokinase isoenzyme 2 that catalyzes phosphorylation of glucose in the cytosol', '  hypothetical protein', '  Hexokinase-2', '  Alpha subunit of heterooctameric phosphofructokinase involved in glycolysis', '  Beta subunit of heterooctameric phosphofructokinase involved in glycolysis', '  Fructose-1,6-bisphosphatase, key regulatory enzyme in the gluconeogenesis pathway', '  Fructose-2,6-bisphosphatase, required for glucose metabolism', '  Similar to 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase enzymes', '  6-phosphofructo-2-kinase', '  6-phosphofructo-2-kinase, inhibited by phosphoenolpyruvate and sn-glycerol 3-phosphate, has negligib', '  Peroxisomal 2,4-dienoyl-CoA reductase, auxiliary enzyme of fatty acid beta-oxidation', '  Fructose 1,6-bisphosphate aldolase, required for glycolysis and gluconeogenesis', '  Triose phosphate isomerase, abundant glycolytic enzyme', '  Dihydroxyacetone kinase, required for detoxification of dihydroxyacetone (DHA)']	['PAS_chr3_1115', 'PAS_chr2-2_0053', 'PAS_chr3_0870', 'PAS_chr2-1_0093', 'PAS_chr4_0338', 'PAS_chr4_0339', 'PAS_chr1-4_0075', 'PAS_chr4_0341', 'PAS_chr4_0577', 'PAS_chr4_0624', 'PAS_chr1-4_0447', 'PAS_chr3_1192', 'PAS_chr1-4_0561', 'PAS_chr2-1_0402', 'PAS_chr1-4_0047', 'PAS_chr3_0868', 'PAS_chr2-1_0110', 'PAS_chr4_0266', 'PAS_FragB_0064', 'PAS_chr2-2_0060', 'PAS_chr4_0754', 'PAS_chr1-1_0072', 'PAS_chr3_0951', 'PAS_chr3_0841']	ppa00051	Fructose and mannose metabolism
['  UDP-glucose pyrophosphorylase (UGPase), catalyses the reversible formation of UDP-Glc', '  Phosphoglucomutase', '  Phosphoglucomutase, catalyzes interconversion of glucose-1-phosphate and glucose-6-phospate', '  Non-essential protein of unknown function required for transcriptional induction', '  Hexokinase isoenzyme 2 that catalyzes phosphorylation of glucose in the cytosol', '  hypothetical protein', '  Hexokinase-2', '  Alpha subunit of heterooctameric phosphofructokinase involved in glycolysis', '  Beta subunit of heterooctameric phosphofructokinase involved in glycolysis']	['PAS_chr1-3_0122', 'PAS_chr1-4_0264', 'PAS_chr2-1_0771', 'PAS_chr4_0624', 'PAS_chr1-4_0447', 'PAS_chr3_1192', 'PAS_chr1-4_0561', 'PAS_chr2-1_0402', 'PAS_chr1-4_0047']	ppa00052	Galactose metabolism
['  hypothetical protein', '  hypothetical protein', '  Putative fatty aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase']	['PAS_chr2-1_0051', 'PAS_chr2-1_0853', 'PAS_chr1-4_0064', 'PAS_chr3_0987', 'PAS_chr4_0043']	ppa00053	Ascorbate and aldarate metabolism
['  Acetyl-CoA carboxylase, biotin containing enzyme', '  hypothetical protein', '  Beta subunit of fatty acid synthetase; catalyzes the synthesis of long-chain saturated fatty acids', '  Alpha subunit of fatty acid synthetase', '  Mitochondrial beta-keto-acyl synthase with possible role in fatty acid synthesis', '  3-oxoacyl-[acyl-carrier-protein] reductase', '  Mitochondrial 3-hydroxyacyl-thioester dehydratase involved in fatty acid biosynthesis', '  2-enoyl thioester reductase, member of the medium chain dehydrogenase/reductase family', '  Long chain fatty acyl-CoA synthetase with a preference for C12:0-C16:0 fatty acids', '  Long chain fatty acyl-CoA synthetase']	['PAS_chr1-4_0249', 'PAS_chr2-1_0224', 'PAS_chr1-1_0008', 'PAS_chr1-4_0295', 'PAS_chr4_0511', 'PAS_chr2-1_0856', 'PAS_chr3_0631', 'PAS_chr4_0311', 'PAS_chr2-1_0785', 'PAS_chr4_0352']	ppa00061	Fatty acid biosynthesis
['  2-enoyl thioester reductase, member of the medium chain dehydrogenase/reductase family', '  hypothetical protein', '  Fatty acid elongase', '  Elongase', '  Microsomal beta-keto-reductase', '  3-hydroxyacyl-CoA dehydratase', '  Enoyl reductase that catalyzes the last step in each cycle of very long chain fatty acid elongation']	['PAS_chr4_0311', 'PAS_chr2-2_0107', 'PAS_chr3_0602', 'PAS_chr3_0236', 'PAS_chr4_0368', 'PAS_chr3_0222', 'PAS_chr4_0780']	ppa00062	Fatty acid elongation
['  Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase), cytosolic enzyme', '  3-ketoacyl-CoA thiolase with broad chain length specificity', '  Fatty-acyl coenzyme A oxidase', '  Long chain fatty acyl-CoA synthetase with a preference for C12:0-C16:0 fatty acids', '  Long chain fatty acyl-CoA synthetase', '  hypothetical protein', '  S-(hydroxymethyl)glutathione dehydrogenase', '  Mitochondrial alcohol dehydrogenase isozyme III', '  hypothetical protein', '  Putative fatty aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase']	['PAS_chr1-4_0304', 'PAS_chr2-2_0267', 'PAS_chr1-4_0538', 'PAS_chr2-1_0785', 'PAS_chr4_0352', 'PAS_chr1-4_0663', 'PAS_chr3_1028', 'PAS_chr2-1_0472', 'PAS_chr2-1_0853', 'PAS_chr1-4_0064', 'PAS_chr3_0987', 'PAS_chr4_0043']	ppa00071	Fatty acid degradation
